Date,Low,Base,High
2025-01,16421.8661360595,18566.089711891498,17679.535733422497
2025-07,17339.346416103,22473.11247747,24854.437698706497
2026-01,18720.721219764,27070.822644878997,32678.791997055
2026-07,20658.769451766,32266.441309395,41193.833697234
2027-01,23287.5050855985,38214.599978890496,50286.166360136995
2027-07,26792.4859307085,44863.754817408,60295.9793030835
2028-01,30977.8454104575,52409.772401586,71037.71471662649
2028-07,36163.155307782,60842.343964233,82758.783013362
2029-01,42286.563019532994,70202.70457411499,95407.6403573325
2029-07,49533.626355157496,80707.3383422535,109087.374420453
2030-01,57832.183944314995,92273.77513111649,123931.999176213
2030-07,67388.41113083549,105056.64644857649,140023.98476214448
2031-01,77862.1185973995,118787.9243476545,156992.2155593535
2031-07,89047.13100017699,133240.8159501375,174692.368827159
2032-01,100912.52203759349,148353.4686528765,193072.90072960348
2032-07,113272.73390020199,163940.3246464245,211958.5622244315
2033-01,125859.73864102349,179805.517354143,231040.090295898
2033-07,138518.90475218548,195732.56266501048,250173.162203322
2034-01,151064.674424241,211535.90276958,269244.381507597
2034-07,163280.5635461685,227019.67109121298,288016.6465633185
2035-01,175011.94061009548,241957.0747516965,306232.23819069896
2035-07,186135.100409724,256368.7312854135,323880.847622547
2036-01,196495.4114371815,270017.5390469595,340704.75567907497
2036-07,206031.021089319,282800.4103644195,356827.667566581
2037-01,214783.1644349025,294789.50660813396,372043.407941235
2037-07,222617.82750044248,305881.740106188,386351.976803037
2038-01,229504.0839843645,316025.56702262396,399804.9179879445
2038-07,235627.4916961155,325427.162701272,412453.77533191495
2039-01,240895.271730972,333911.2780998765,424216.07869741647
2039-07,245420.8205280405,341694.39732945897,435225.84205793845
2040-01,249183.520552938,348714.6677868705,445544.91801663
2040-07,252307.07701196248,355075.177144026,455173.30657349096
2041-01,254843.0337410715,360879.01307284046,464183.169098862
2041-07,256812.008274648,366074.6317373565,472677.59326465795
2042-01,258224.3093798835,370826.973412638,480605.0352349215
2042-07,259213.9510302675,375084.4942627275,488120.126517525
2043-01,259873.7121305235,378919.35565796547,495243.4846468515
2043-07,260193.28391345998,382424.3365030755,502036.96222605
2044-01,260368.5329557155,385578.8192636745,508428.39788477996
2044-07,260409.76802448148,388434.34777572,514531.188062148
2045-01,260409.76802448148,391063.08340955246,520438.1116628775
2045-07,260409.76802448148,393454.71739798045,526077.007316628
2046-01,260409.76802448148,395640.1760425785,531509.7276265485
2046-07,260409.76802448148,397629.76811053796,536767.1988942134
2047-01,260409.76802448148,399454.4199034335,541870.038654006
2047-07,260409.76802448148,401175.984024414,546828.5556731175
2048-01,260409.76802448148,402763.53417190496,551642.749951548
2048-07,260409.76802448148,404227.37911309797,556312.6214892975
2049-01,260409.76802448148,405536.5925464185,560941.257958281
2049-07,260409.76802448148,406835.49721254746,565446.1892209664
2050-01,260409.76802448148,408000.387905187,569961.4292508435
2050-07,260409.76802448148,409103.42599467747,574311.7290056564
